id,name,image,description,maxdepth,sights
0,Thistlegorm Wreck,https://www.scubatravel.co.uk/photos/460/red-sea/ghiannis-d.jpg,"Today, the Thistlegorm is one of the most beautiful wreck dive sites in the world delighting those lucky enough to visit with the chance to dive into the strait of Gudal, near Sharm El Sheikh, and not too far from Dahab! Lying upright in the sand, the ship is 131 meters long and 17.5 meters wide, with only the stern detached from the rest of the hull. On the upper deck, you can admire beautiful coral formations as well as vast cisterns. In its interior, a multitude of objects are extremely well preserved: crates of rifles, mechanical spare parts, aircraft pieces, cars, motorcycles, and much more… We are not going to tell you everything, but the belly of the boat is a true treasure chest for passionate wreck divers, underwater historians, and photographers!",40,"locomotives, tanks, Army Trucks, jeeps, Motorbikes, Boots, stacks of rifles, planes and car spare parts"
1,Carnatic Wreck,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/carnaticaa.jpg,"The Carnatic is the oldest Wreck of Abu Nuhas. It is a former 90m long British Cargo steam ship sunk in 1869. It is also called the «Wine Wreck» as it was carrying wine (as well as gold)! 2 months after the sinking, the British sent another ship to recover the Gold (so no luck there for those divers thinking they could find the jackpot!). It is still in very good shape and offers fantastic picture opportunities and easy penetration into the holds. The Marine Life is great and soft Coral covers the entire wooden hull.""",22,shipwreck
2,Chrisoula K,http://www.divesitedirectory.co.uk/images/photo/red%20sea/wrecks/chrisoula_k_inside.jpg,The Chrisoula K was a Greek registered freighter and on its final journey its cargo consisted of Italian floor tiles heading for Jeddah. It sank August 31st 1981 after Captain Kanellis passed over control of his ship following two days of intensive navigation. Shortly after the engines were set at full speed and the Chrisoula K was driven right into the northeast corner of Sha'ab Abu Nuhâs Reef.,26,"shipreck, hard corals, reef fish"
3,Giannis D,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/giannis-d.jpg,"The Giannis D sunk in April 1983, which is a former 100m long Japanese freighter. It now lies 24m deep for the deeper part but the mast is only 4m deep and makes a great spot for your safety stop. This former cargo was transporting soft wood and that’s why the Giannis D is also called the «Wood Wreck». The Giannis D is broken into 3 parts: the bow and the stern are in good shape but the middle is in bad condition. Penetration is possible at the stern and you can reach a pocket of trapped air as well as the engine room.
",24,"moray eels, bannerfish, jackfish"
4,Kimon M,https://www.seawolf-safari.de/wp-content/uploads/2015/07/kimon.mSPK4_.jpg,The Kimon M sunk in December 1978 after hitting the Sha’ab Abu Nuhâs Reef due to a quick response from another passing cargo ship. This former 120m long cargo vessel was carrying Lentils and is therefore also called the «Lentil Wreck». The Kimon M lies now in 32m of water at the stern.The Kimon M sunk in December 1978 after hitting the Sha’ab Abu Nuhâs Reef due to a quick response from another passing cargo ship. This former 120m long cargo vessel was carrying Lentils and is therefore also called the «Lentil Wreck». The Kimon M lies now in 32m of water at the stern.,32,"shipwreck, batfish, snappers, tuna, hunting barracuda, dolphins"
5,Blue Hole,https://h2odiversdahab.com/wp-content/uploads/h2o-divesite-bells.jpg,"The Dahab Blue Hole is one of the most famous and best dive sites in the whole World! It is a dive site located 10km North of Dahab. The Blue Hole is a vertical cavern deep called sink hole at about 130m. There is an arch connecting the blue hole to the Red Sea starting at 56m deep. It is a nice and easy dive site if you do so as a shallow dive like most people do. However, the Dahab Blue hole is famous for being the most dangerous Dive site in the World and about 30 divers die here every year while attempting to dive under the Arch! It is a real tragedy and so please, DO NOT try to dive under the Arch if you are not an extremely experienced Tech and Deep Diver!!! Moreover, diving under the Arch requires special material such as a mixed-gas system.",130,"clownfish, lion fish, Spanish dancer, turtle"
6,Little Brother Island,https://www.wannadive.net/spot/Africa/Egypt/The_Brother_Islands/Numidia_Wreck/photo/20090309114100-dive-site-photo-Numidia_Wreck-Little_Brother_Wrack_Numidia1.jpg,"Little Brother Island is shaped like a rain drop, falling from the north west to south east. Deep walls surround the island on all sides except the northern point, where the reef slopes very slowly away from the island before dropping to a deep plateau at 40m. This plateau is one of the best places in the Red Sea for diving with sharks. Silvertips and grey reef sharks frequent the area and great hammerheads sometimes rise from the deep for a quick inspection before descending into the deep blue once again.

On the eastern and western walls, it's not about size but about quality. Surrounded by sheer walls covered with black corals, mammoth gorgonian fans with exceptionally dense hard and soft corals covering the spectrum of colours, it's easy to miss all the beauty as your view is obscured by schools of fish so plentiful that it often blocks out the light.
",40,"barracuda, dogtooth tuna, reef sharks"
7,Big Brother Island,https://c8.alamy.com/comp/GDJ9A9/two-male-scuba-diver-inside-the-wreck-of-the-numidia-big-brother-reef-GDJ9A9.jpg,"Big Brother is  home to 2 Red Sea wrecks, lying quite close by one another off the north east point of the island, near the lighthouse. The Numidia is also known as the Railway Wreck due to the 2 locomotive wheels that she was carrying as cargo and now lie in the shallows. She met her end in 1901 when bound for India on only her second voyage. This was a 130m long British wooden cargo ship that ran aground. The bow is broken up and lies in only 8m of water.",40,"tiny anthias, glassfish and sweepers, reef sharks, hammerheads"
8,Elphinstone Reef,https://marsaalamactivities.com/wp-content/uploads/2017/06/DSCN9926.jpg,"The best place to dive Elphinstone Reef is from Marsa Alam on a day trip. Many liveaboards also go there and usually start in Marsa Alam or In Hurghada to explore the Southern Red Sea (Daedalus Reef, The Brothers). I usually use this website to book in advance my Liveaboards in the Red Sea as they usually have the lowest rates I find. I like it because they have an easy booking system. Scuba Diving in Elphinstone reef is reserved to experienced divers as current can be very strong and you are diving in the open sea.",40,"Fusilier, Giant Trevally, Hammerhead Shark, Manta Ray, Napoleon Wrasse, Tiger Shark, Turtle"
9,Dolphin House (Sha'ab Samadai Reef),https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/dolphin-house.jpg,The Marsa Alam Dolphin House also called the Sha’ab Samadai Reef is a popular and famous dive site of Marsa Alam. It is an offshore reef with a lagoon where a pod of Spinner Dolphins live. It is possible to go Swimming and Snorkelling with the Dolphins. It is really one of the few places in the world where you can meet them in such great conditions. The day trips to Sha’ab Samadai can be organized from Marsa Alam by local dive operators. Many Liveaboards exploring the South Red Sea also visit Samadai Reef.,25,dolphins
10,Fury Shoals,https://blog.blueotwo.com/wp-content/uploads/2019/04/fury-shoal-small.jpg,"The Fury Shoals make up several reefs along the Southwest Red Sea coast, offering amazing scuba diving opportunities with some of the most pristine reefs in Egypt. The hard and soft coral are unspoiled and are a highlight of many dive sites such as the Fury Shoal Garden.
",40,"Barracuda, Giant Trevally, Moray Eel, Octopus, Whitetip Shark"
11,Abu Dabbab,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/duging-dabab.jpg,"Abu Dabbab is one of the most famous dive sites in the Red Sea and of all of Egypt. It is one of the few places in the world where you can dive with the very rare and endangered Dugong aka the Sea Cow. In fact, there are two resident Dugongs in the Abu Dabbab bay named Dennis and Dougal. This dive site also features friendly giant Green Sea Turtles that you can swim with up close and personal. In the shallow water, it is not rare to spot the bizarre looking but completely harmless Guitar Shark.",10,"guitar shark, sea cow (Dugong)"
12,Rosalie Moller Wreck,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/rosali-2.jpg,"The Rosalie Moller Wreck is a great deep dive for experienced divers only. You can either dive on a regular single tank or with tech-diving equipment for a longer bottom time if you so desire.The Rosalie Moller is the Sister Ship of the World famous, and maybe the best wreck dive in the World, Thistlegorm Shipwreck. This former 108m long cargo ship transporting coal has been bombed and sunk in October 1941 by a German Air Attack during the World War 2. She lies now 55 m deep on a sandy seabed. ",40,"barracuda, grouper, wreck
"
13,Daedalus Reef,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/daedulud.jpg,"It is an offshore reef located 80km East of Marsa Alam. It features pristine hard and soft coral and an amazing marine life. Here you can see various species of oceanic sharks like the curious Oceanic Whitetip Shark, Schooling Hammerhead Sharks as well as Grey Reef Sharks and even the very rare Tresher Shark if you are lucky! Most of the dives on Daedalus Reef are drift dives along amazing deep walls covered by superb coral. In addition to the Sharks, you can also encounter various pelagic fishes such as the Giant Trevally or the Dogtooth Tuna and even Manta Rays can be spotted! The Daedalus Reef is located within a Marine Park which combined with its remote location, really is the most pristine dive site around Egypt and the Red Sea.",40,"Dogtooth Tuna, Grey Reef Shark, Jack, Oceanic Whitetip Shark, Silvertip Shark, Tresher Shark"
14,Dunraven Wreck,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/dunraven-surree.jpg,"The Dunraven Wreck is a former 80m long Bristish Steamship. In March 1876, on its way back from India, she hits the Beacon Rock reef. Its cargo of wool and cotton then set on fire before sinking, with no loss of life. The wreck was only discovered in 1979 and it took some time to identify the Ship. She now lies upside down in 2 pieces with the deepest part being around 
28m deep and the shallowest around 18m deep. It is possible to dive the 
whole wreck on a single dive and to enter the hull in several places by 
large holes.",40,"Goatfishes, Glassfishes, Moray Eels, wreck, dolphins, batfish"
15,Kingston Wreck,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/kin.jpg,"The Kingston Wreck is located near Shag Rock dive site in the Strait of Gubal, North Red Sea. It has been long misidentified and called the Sarah H Wreck. The Kingston is a former 80m long steamship sunk in February 1881 with no loss of life after hitting the Shag Rock Reef. She now lies very shallow from 10 to 20m deep of water making it a great choice for the second dive of the day. The hull is still in good shape and seats upright perpendicular to the current making it a good shelter. The coral along the hull is beautiful, offering plenty of wonderful pictures opportunities. It also attracts plenty of fishes and it is not rare to spot turtles or pelagic fishes swimming by. At the end of your dive you can finish by exploring Shag Rock beautiful reef with coral in pristine conditions and a teeming reef life.",20,"wreck, Goatfish, Nudibranch, Surgeonfish, Sweet Lip, Turtle "
